Date,MEI V2
1/15/87,0.98
2/15/87,1.08
3/15/87,1.47
4/15/87,1.66
5/15/87,1.91
6/15/87,2.02
7/15/87,1.92
8/15/87,1.48
9/15/87,1.23
10/15/87,1.13
11/15/87,0.85
12/15/87,0.75
1/15/88,0.59
2/15/88,0.31
3/15/88,0.19
4/15/88,-0.01
5/15/88,-0.36
6/15/88,-1.19
7/15/88,-1.77
8/15/88,-1.79
9/15/88,-1.78
10/15/88,-1.54
11/15/88,-1.61
12/15/88,-1.49
1/15/89,-1.09
2/15/89,-1.06
3/15/89,-1.2
4/15/89,-1.09
5/15/89,-1.04
6/15/89,-1.02
7/15/89,-1.12
8/15/89,-0.73
9/15/89,-0.61
10/15/89,-0.56
11/15/89,-0.33
12/15/89,-0.02
1/15/90,0.11
2/15/90,0.43
3/15/90,0.61
4/15/90,0.17
5/15/90,0.03
6/15/90,0.04
7/15/90,0.17
8/15/90,0.06
9/15/90,0.21
10/15/90,-0.05
11/15/90,0.12
12/15/90,0.28
1/15/91,0.16
2/15/91,0.08
3/15/91,0.21
4/15/91,0.21
5/15/91,0.35
6/15/91,0.89
7/15/91,0.88
8/15/91,0.42
9/15/91,0.62
10/15/91,1.09
11/15/91,1.17
12/15/91,1.29
1/15/92,1.7
2/15/92,1.59
3/15/92,1.72
4/15/92,1.98
5/15/92,1.69
6/15/92,1.58
7/15/92,0.76
8/15/92,0.08
9/15/92,0.5
10/15/92,0.81
11/15/92,0.73
12/15/92,0.78
1/15/93,0.83
2/15/93,0.93
3/15/93,0.78
4/15/93,0.98
5/15/93,1.48
6/15/93,1.5
7/15/93,0.9
8/15/93,0.62
9/15/93,0.64
10/15/93,0.95
11/15/93,0.7
12/15/93,0.26
1/15/94,0.02
2/15/94,-0.17
3/15/94,-0.21
4/15/94,0.03
5/15/94,0
6/15/94,0.25
7/15/94,0.88
8/15/94,0.84
9/15/94,1.06
10/15/94,1.47
11/15/94,0.99
12/15/94,0.87
1/15/95,0.77
2/15/95,0.48
3/15/95,0.14
4/15/95,0.18
5/15/95,0.16
6/15/95,0
7/15/95,-0.25
8/15/95,-0.65
9/15/95,-0.86
10/15/95,-0.65
11/15/95,-0.67
12/15/95,-0.82
1/15/96,-0.83
2/15/96,-0.81
3/15/96,-0.64
4/15/96,-0.69
5/15/96,-0.83
6/15/96,-0.9
7/15/96,-0.76
8/15/96,-0.6
9/15/96,-0.26
10/15/96,-0.31
11/15/96,-0.3
12/15/96,-0.46
1/15/97,-0.66
2/15/97,-0.72
3/15/97,-0.29
4/15/97,0.17
5/15/97,0.69
6/15/97,2.25
7/15/97,2.11
8/15/97,2.2
9/15/97,2.17
10/15/97,2.01
11/15/97,2.06
12/15/97,2.04
1/15/98,2.23
2/15/98,2.43
3/15/98,2.27
4/15/98,2.55
5/15/98,2.26
6/15/98,0.37
7/15/98,-1.43
8/15/98,-1.74
9/15/98,-1.31
10/15/98,-1.21
11/15/98,-1.3
12/15/98,-1.25
1/15/99,-1.26
2/15/99,-1.18
3/15/99,-1.11
4/15/99,-1.16
